exercise_name,equipment_id,source,confidence
Lever Chest Press,67bda34c-d1b7-4ae7-aa43-11bb74ae40a7,seed,0.9
Lever Chest Press,814ba304-6aa1-4ba7-ba97-04df06fd8848,seed,0.9
Lever Chest Press,0c6816c6-27e5-4cb2-a998-09ae8ef3a566,seed,0.9
Lever Chest Press,5d7c3d55-2f30-4d43-97f5-5cddce04c959,seed,0.9
Lever Chest Press,15282ad6-a3fc-4be8-a95a-5e974632adff,seed,0.9
Lever Chest Press,910c3910-c313-47a6-8c7f-9161eea7de3d,seed,0.9
Lever Chest Press,20092f3c-4999-49bd-8ba6-4f51b5d0014e,seed,0.9
Lever Chest Press,ab765661-eb45-424e-ac36-10df2dabd391,seed,0.9
Lever Chest Press,5bfab158-11ac-4dac-8ea2-462a7e95b233,seed,0.9
Lever Chest Press,33e41f49-5a0a-4a67-bb84-e296e897667b,seed,0.9
Lever Chest Press,a330d5f3-7577-467f-8ea4-25bc6549c4d0,seed,0.9
Lever Chest Press,de9899fe-ebe1-48d3-8f1d-e97fb3cab291,seed,0.9
Lever Chest Press,ca83c9ee-1ef4-4061-9477-db0d4e5dc8b1,seed,0.9
Lever Chest Press,8db23cf2-ff9a-580f-8615-55c1f5b7d2d8,seed,0.9
Lever Front Pulldown,27632a4b-d5e9-40df-ba5a-6152d4153619,seed,0.9
Lever Front Pulldown,fa0d0b81-9759-5f4b-8567-ba9a23a0a4ea,seed,0.9
Lever Front Pulldown,724fbe01-a574-4b36-a28e-dcdcfdfcdae5,seed,0.9
Lever Front Pulldown,b9b0ee51-610e-4546-bbf1-6172c3736808,seed,0.9
Lever Front Pulldown,73068157-25fc-4359-817f-e4820f8eaa3f,seed,0.9
Lever Front Pulldown,92e82d08-8376-4b76-a3f6-9701d49d33a1,seed,0.9
Lever Front Pulldown,ec620436-cabb-4f29-8813-1645eb4bd0ee,seed,0.9
Lever Front Pulldown,ca6e2e7b-b2ee-4b0a-85fb-2ee516373357,seed,0.9
Lever Front Pulldown,00f1ee81-9b15-43b8-aa1e-f4497ce00ed9,seed,0.9
Lever Front Pulldown,c0e9d8dd-ef31-449c-92a0-5f533132e578,seed,0.9
Lever Front Pulldown,568857d6-f3e0-5905-9f60-18ce5180a4e1,seed,0.9
Lever Front Pulldown,325e25e2-4b64-5d2b-8e8e-e6871f9657b3,seed,0.9
Lever High Row,dc823fdb-8cc0-59db-8d4a-7fd03575723d,seed,0.9
Lever High Row,be8c8a43-281e-5331-8539-e5ecf1b2cba1,seed,0.9
Lever High Row,e4b68832-bd2d-4996-a062-f08c96736e23,seed,0.9
Lever High Row,d5123039-4a87-4e5c-97fd-bfcff2e65ed8,seed,0.9
Lever High Row,98aeba22-b028-49c2-adfb-b74ac5384589,seed,0.9
